timestamp,pipeline_events_active,pipeline_events_published,pipeline_events_total,queue_filled_events,queue_filled_bytes,queue_filled_pct,queue_max_events,queue_added_events,queue_consumed_events,queue_removed_events,output_events_total,output_events_acked,output_events_active,output_events_failed,output_events_dropped,output_events_batches,latency_mean,latency_median,latency_p95,latency_p99,latency_p999,latency_max,filebeat_events_active,filebeat_events_added,filebeat_events_done,cpu_total_ms,cpu_user_ms,cpu_system_ms,memory_alloc,memory_total,rss,gc_next,goroutines,load_1,load_5,load_15,load_norm_1,load_norm_5,load_norm_15
2026-03-02 12:03:19.979000+01:00,0,,,0,0,0,3200,,,,,,0,,,,0,0,0,0,0,0,0,,,368,310,57,14736088,32473224,95682560,22222306,38,5.3813,4.7031,4.126,0.4484,0.3919,0.3438
2026-03-02 12:04:19.977000+01:00,1200,950000,950000,1200,0,0.375,3200,950000,948800,948800,948800,948800,0,,,593,0,0,0,0,0,0,1200,950000,948800,66158,57349,8810,21409144,5286344056,125583360,29637858,42,3.5142,4.2983,4.0122,0.2928,0.3582,0.3344
2026-03-02 12:05:19.974000+01:00,867,962866,962867,867,0,0.2709375,3200,962867,963200,963200,963200,963200,0,,,602,0,0,0,0,0,0,1000,963000,963200,67329,58321,9008,20445632,10612341528,126681088,26917538,43,2.7324,3.9492,3.9004,0.2277,0.3291,0.325
2026-03-02 12:06:19.978000+01:00,800,987134,987133,800,0,0.25,3200,987133,987200,987200,987200,987200,0,,,617,0,0,0,0,0,0,800,987000,987200,68802,59655,9147,27785784,16071789960,126746624,32084706,43,3.1675,3.812,3.8486,0.264,0.3177,0.3207
2026-03-02 12:07:19.975000+01:00,2105,975705,975706,2106,0,0.6578125,3200,975705,976000,974400,976000,974400,1600,,,610,0,0,0,0,0,0,2400,976000,974400,67596,58630,8965,25665120,21468276800,127008768,34436370,43,2.9233,3.6411,3.7817,0.2436,0.3034,0.3151
2026-03-02 12:08:19.975000+01:00,1201,944696,944695,1201,0,0.3753125,3200,944696,944000,945600,944000,945600,0,,,590,0,0,0,0,0,0,1800,945000,945600,65685,56940,8745,21990872,26693649744,127107072,32354098,43,2.75,3.4619,3.7036,0.2292,0.2885,0.3086
2026-03-02 12:09:19.958000+01:00,0,979599,979599,0,0,0,3200,979599,980800,980800,980800,980800,0,,,613,0,0,0,0,0,0,0,979000,980800,68022,58848,9175,31470240,32110246248,127221760,34143170,41,2.3862,3.2124,3.5903,0.1989,0.2677,0.2992
2026-03-02 12:10:19.947000+01:00,2048,950847,950848,2047,0,0.64,3200,950848,950400,948800,950400,948800,1600,,,594,0,0,0,0,0,0,2200,951000,948800,66668,57757,8910,26818464,37368984032,127270912,29635010,43,2.1099,2.9863,3.4785,0.1758,0.2489,0.2899
2026-03-02 12:11:19.946000+01:00,1205,973557,973557,1205,0,0.3765625,3200,973557,972800,974400,972800,974400,0,,,608,0,0,0,0,0,0,1800,974000,974400,68072,58989,9084,23542096,42754008968,127401984,27515218,43,1.9556,2.7881,3.3687,0.163,0.2323,0.2807
2026-03-02 12:12:19.951000+01:00,800,975596,975595,800,0,0.25,3200,975595,976000,976000,976000,976000,0,,,610,0,0,0,0,0,0,800,975000,976000,68272,59269,9003,20321512,48149502656,127418368,31268274,40,2.6445,2.7769,3.3198,0.2204,0.2314,0.2767
