elapsed_secs,interval_secs,batches_received_total_delta,batches_published_total_delta,events_received_total_delta,events_published_total_delta,http_request_total_delta,http_request_errors_total_delta,http_response_1xx_total_delta,http_response_2xx_total_delta,http_response_3xx_total_delta,http_response_4xx_total_delta,http_response_5xx_total_delta,http_response_errors_total_delta,cel_executions_delta
120,60,5,5,250005,250005,5,0,0,5,0,0,0,0,5
180,60,5,5,250005,250005,5,0,0,5,0,0,0,0,5
240,60,5,5,250005,224955,4,0,0,4,0,0,0,0,4
300,60,5,5,250005,246105,5,0,0,5,0,0,0,0,5
360,60,5,5,250005,246354,5,0,0,5,0,0,0,0,5
420,60,4,4,200004,232605,5,0,0,5,0,0,0,0,5
480,60,5,5,250005,250005,5,0,0,5,0,0,0,0,5
540,60,5,5,250005,250005,5,0,0,5,0,0,0,0,5
600,60,5,5,250005,250005,5,0,0,5,0,0,0,0,5
660,60,5,5,250005,250005,5,0,0,5,0,0,0,0,5
720,60,5,5,250005,250005,5,0,0,5,0,0,0,0,5
780,60,5,5,250005,250005,5,0,0,5,0,0,0,0,5
840,60,5,5,250005,250005,5,0,0,5,0,0,0,0,5
900,60,5,5,250005,250005,5,0,0,5,0,0,0,0,5
960,60,5,5,250005,250005,5,0,0,5,0,0,0,0,5
1020,60,5,5,250005,250005,5,0,0,5,0,0,0,0,5
1080,60,5,5,250005,250005,5,0,0,5,0,0,0,0,5
1140,60,5,5,250005,250005,5,0,0,5,0,0,0,0,5
1200,60,5,5,250005,250005,5,0,0,5,0,0,0,0,5
1260,60,5,5,250005,250005,5,0,0,5,0,0,0,0,5
1320,60,5,5,250005,249338,4,0,0,4,0,0,0,0,4
1380,60,5,5,250005,248996,5,0,0,5,0,0,0,0,5
1440,60,5,5,250005,234709,5,0,0,5,0,0,0,0,5
1500,60,4,4,200004,216976,5,0,0,5,0,0,0,0,5
1560,60,5,5,250005,250005,5,0,0,5,0,0,0,0,5
1620,60,5,5,250005,250005,5,0,0,5,0,0,0,0,5
1680,60,5,5,250005,250005,5,0,0,5,0,0,0,0,5
1740,60,5,5,250005,250005,5,0,0,5,0,0,0,0,5
