elapsed_secs,interval_secs,batches_received_total_delta,batches_published_total_delta,events_received_total_delta,events_published_total_delta,http_request_total_delta,http_request_errors_total_delta,http_response_1xx_total_delta,http_response_2xx_total_delta,http_response_3xx_total_delta,http_response_4xx_total_delta,http_response_5xx_total_delta,http_response_errors_total_delta,akamai_requests_total_delta,akamai_requests_success_total_delta,akamai_requests_errors_total_delta,offset_expired_total_delta,offset_ttl_drops_total_delta,hmac_refresh_total_delta,cursor_drops_total_delta,from_clamped_total_delta,api_400_fatal_total_delta,errors_total_delta
120,60,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
180,60,15,15,900000,900000,16,0,0,16,0,0,0,0,16,16,0,0,0,0,0,0,0,0
240,60,17,17,1020000,1020000,17,0,0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0
300,60,17,17,1020000,1020000,17,0,0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0
360,60,17,17,1020000,1020000,17,0,0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0
420,60,17,17,1020000,1020000,17,0,0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0
480,60,17,17,1020000,1020000,17,0,0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0
540,60,17,17,1020000,1020000,17,0,0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0
600,60,16,16,960000,960000,16,0,0,16,0,0,0,0,16,16,0,0,0,0,0,0,0,0
660,60,17,17,1020000,1020000,17,0,0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0
720,60,17,17,1020000,1020000,17,0,0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0
780,60,17,17,1020000,1020000,17,0,0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0
840,60,17,17,1020000,1020000,17,0,0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0
900,60,17,17,1020000,1020000,17,0,0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0
960,60,16,16,960000,960000,16,0,0,16,0,0,0,0,16,16,0,0,0,0,0,0,0,0
1020,60,18,18,1080000,1080000,18,0,0,18,0,0,0,0,18,18,0,0,0,0,0,0,0,0
1080,60,17,17,1020000,1020000,17,0,0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0
1140,60,17,17,1020000,1020000,17,0,0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0
1200,60,17,17,1020000,1020000,17,0,0,16,0,0,0,0,17,16,0,0,0,0,0,0,0,0
1260,60,16,16,960000,960000,16,0,0,17,0,0,0,0,16,17,0,0,0,0,0,0,0,0
1320,60,17,17,1020000,1020000,17,0,0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0
1380,60,17,17,1020000,1020000,17,0,0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0
1440,60,16,16,960000,960000,16,0,0,16,0,0,0,0,16,16,0,0,0,0,0,0,0,0
1500,60,17,17,1020000,1020000,17,0,0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0
1560,60,17,17,1020000,1020000,17,0,0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0
1620,60,16,16,960000,960000,16,0,0,16,0,0,0,0,16,16,0,0,0,0,0,0,0,0
1680,60,17,17,1020000,1020000,17,0,0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0
1740,60,16,16,960000,960000,16,0,0,16,0,0,0,0,16,16,0,0,0,0,0,0,0,0
1800,60,17,17,1020000,1020000,17,0,0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0
1860,60,17,17,1020000,1020000,17,0,0,16,0,0,0,0,17,16,0,0,0,0,0,0,0,0
1920,60,16,16,960000,960000,16,0,0,16,0,0,0,0,16,16,0,0,0,0,0,0,0,0
1980,60,16,16,960000,960000,16,0,0,17,0,0,0,0,16,17,0,0,0,0,0,0,0,0
2040,60,17,17,1020000,1020000,17,0,0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0
2100,60,17,17,1020000,1020000,17,0,0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0
2160,60,17,17,1020000,1020000,17,0,0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0
2220,60,16,16,960000,960000,16,0,0,16,0,0,0,0,16,16,0,0,0,0,0,0,0,0
2280,60,17,17,1020000,1020000,17,0,0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0
2340,60,17,17,1020000,1020000,17,0,0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0
2400,60,17,17,1020000,1020000,17,0,0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0
2460,60,17,17,1020000,1020000,17,0,0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0
2520,60,17,17,1020000,1020000,17,0,0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0
2580,60,17,17,1020000,1020000,17,0,0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0
2640,60,17,17,1020000,1020000,17,0,0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0
2700,60,17,17,1020000,1020000,17,0,0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0
