timestamp,pipeline_events_active,pipeline_events_published,pipeline_events_total,queue_filled_events,queue_filled_bytes,queue_filled_pct,queue_max_events,queue_added_events,queue_consumed_events,queue_removed_events,output_events_total,output_events_acked,output_events_active,output_events_failed,output_events_dropped,output_events_batches,latency_mean,latency_median,latency_p95,latency_p99,latency_p999,latency_max,filebeat_events_active,filebeat_events_added,filebeat_events_done,cpu_total_ms,cpu_user_ms,cpu_system_ms,memory_alloc,memory_total,rss,gc_next,goroutines,load_1,load_5,load_15,load_norm_1,load_norm_5,load_norm_15
2026-03-04 15:05:46.199000+01:00,649,240004,240004,649,0,0.2028125,3200,240004,239355,239355,239355,239355,0,,,150,0.0009765625,0,0,0,0.9749999999999991,1,649,240004,239355,51696,49184,2511,230110224,2318999880,750993408,416307858,32,3.5356,2.9482,2.5913,0.2946,0.2457,0.2159
2026-03-04 15:06:46.199000+01:00,801,240004,240004,801,0,0.2503125,3200,240004,239852,239852,239852,239852,0,,,152,0.0009765625,0,0,0,0.9749999999999991,1,801,240004,239852,53146,50816,2330,330044240,4414972232,816316416,353981970,32,2.2915,2.6963,2.5195,0.191,0.2247,0.21
2026-03-04 15:07:46.198000+01:00,1299,289302,289303,1298,0,0.405625,3200,289302,288805,288805,288805,288805,0,,,183,0,0,0,0,0,0,1300,289304,288805,55292,52677,2615,159100272,6630522024,816349184,201191554,32,1.9053,2.5068,2.458,0.1588,0.2089,0.2048
2026-03-04 15:08:46.199000+01:00,801,250707,250706,801,0,0.2503125,3200,250707,251204,251204,251204,251204,0,,,159,0,0,0,0,0,0,801,250705,251204,52154,49736,2419,243149584,8896254096,816562176,354074850,32,3.2275,2.7783,2.561,0.269,0.2315,0.2134
2026-03-04 15:09:46.200000+01:00,801,240004,240004,801,0,0.2503125,3200,240004,240004,240004,240004,240004,0,,,152,0,0,0,0,0,0,801,240004,240004,54378,52079,2298,290356968,10973796672,816562176,354036434,32,3.6416,3.0298,2.6719,0.3035,0.2525,0.2227
2026-03-04 15:10:46.198000+01:00,1517,265520,265521,1517,0,0.4740625,3200,265520,264805,264805,264805,264805,0,,,168,0.0009765625,0,0,0,0.9749999999999991,1,1509,265513,264805,55637,53213,2425,203832240,13153950728,816660480,225431106,32,2.5356,2.7993,2.6069,0.2113,0.2333,0.2172
2026-03-04 15:11:46.202000+01:00,801,274489,274488,801,0,0.2503125,3200,274489,275204,275204,275204,275204,0,,,174,0.0009765625,0,0,0,0.9749999999999991,1,801,274496,275204,53861,51369,2491,176443080,15428138648,816693248,354025394,36,2.9614,2.9233,2.6685,0.2468,0.2436,0.2224
2026-03-04 15:12:46.200000+01:00,801,240004,240004,801,0,0.2503125,3200,240004,240004,240004,240004,240004,0,,,152,0.0009765625,0,0,0,0.9749999999999991,1,801,240004,240004,53923,51678,2246,276446864,17558413344,816709632,354060322,32,2.6328,2.8779,2.6699,0.2194,0.2398,0.2225
2026-03-04 15:13:46.200000+01:00,801,240004,240004,801,0,0.2503125,3200,240004,240004,240004,240004,240004,0,,,152,0.0009765625,0,0,0,0.9749999999999991,1,801,240004,240004,53421,51210,2210,330257632,19642517936,816709632,353987282,32,2.2803,2.7192,2.6226,0.19,0.2266,0.2185
2026-03-04 15:14:46.200000+01:00,801,300005,300005,801,0,0.2503125,3200,300005,300005,300005,300005,300005,0,,,190,0.0009765625,0,0,0,0.9749999999999991,1,801,300005,300005,56519,53900,2619,192816856,21892043472,816726016,202153554,36,2.293,2.6685,2.6108,0.1911,0.2224,0.2176
